index,Name,Team,Positon,Age,Apps,HeightCM,WeightKG,Goals,Assists,Passes,Wins,Losses,Yellowcards,Redcards,Fouls,Wins_ratio,Goals_ratio,Yellowcardsd_ratio,Fouls_ratio,Passes_ratio,Ycards_ratio_dicretized,Fouls_ratio_dicretized
0,Bernd Leno,Arsenal,Goalkeeper,29,96,190.0,83.0,0,0,2689,42,28,2,1,2,0.4375,0.0,0.020833333333333332,0.020833333333333332,28.010416666666668,Low,Low
1,RÃºnar Alex RÃºnarsson,Arsenal,Goalkeeper,26,1,186.0,76.0,0,0,9,0,1,0,0,0,0.0,0.0,0.0,0.0,9.0,Low,Low
2,Mat Ryan,Arsenal,Goalkeeper,29,124,184.0,82.0,0,0,3596,29,55,3,0,2,0.23387096774193547,0.0,0.024193548387096774,0.016129032258064516,29.0,Low,Low
3,HÃ©ctor BellerÃ­n,Arsenal,Defender,26,183,178.0,74.0,8,20,8141,99,47,30,0,143,0.5409836065573771,0.04371584699453552,0.16393442622950818,0.7814207650273224,44.486338797814206,High,Medium
4,Kieran Tierney,Arsenal,Defender,23,41,178.0,70.0,2,4,1590,18,15,6,0,22,0.43902439024390244,0.04878048780487805,0.14634146341463414,0.5365853658536586,38.78048780487805,High,Low
5,Rob Holding,Arsenal,Defender,25,68,189.0,75.0,0,1,3770,36,20,10,0,52,0.5294117647058824,0.0,0.14705882352941177,0.7647058823529411,55.44117647058823,High,Medium
6,Calum Chambers,Arsenal,Defender,26,148,182.0,66.0,6,4,6353,52,59,28,1,144,0.35135135135135137,0.04054054054054054,0.1891891891891892,0.972972972972973,42.92567567567568,High,High
7,David Luiz,Arsenal,Defender,34,213,189.0,84.0,14,7,11161,120,45,41,4,227,0.5633802816901409,0.06572769953051644,0.19248826291079812,1.0657276995305165,52.39906103286385,High,High
8,Gabriel MagalhÃ£es,Arsenal,Defender,23,22,190.0,78.0,2,0,1476,10,9,2,1,20,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.9090909090909091,67.0909090909091,Medium,High
9,CÃ©dric Soares,Arsenal,Defender,29,135,172.0,67.0,2,12,4869,45,52,19,0,87,0.3333333333333333,0.014814814814814815,0.14074074074074075,0.6444444444444445,36.06666666666667,High,Medium
10,Pablo MarÃ­,Arsenal,Defender,27,12,193.0,87.0,0,0,729,7,3,2,0,10,0.5833333333333334,0.0,0.16666666666666666,0.8333333333333334,60.75,High,Medium
11,Mohamed Elneny,Arsenal,Midfielder,28,69,180.0,70.0,1,3,3479,43,16,10,1,34,0.6231884057971014,0.014492753623188406,0.14492753623188406,0.4927536231884058,50.42028985507246,High,Low
12,Emile Smith Rowe,Arsenal,Midfielder,20,21,182.0,79.0,2,4,725,11,5,0,0,5,0.5238095238095238,0.09523809523809523,0.0,0.23809523809523808,34.523809523809526,Low,Low
13,Granit Xhaka,Arsenal,Midfielder,28,160,185.0,82.0,9,15,11663,82,43,42,3,233,0.5125,0.05625,0.2625,1.45625,72.89375,High,High
